dist,,region,reg_prop,2020_pop,pop_pct,2025_pop,2030_pop,2035_pop,2040_pop,2045_pop,2050_pop,2055_pop,2060_pop,2065_pop,2070_pop,2075_pop,2080_pop,2085_pop,2090_pop,2095_pop,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Assin North,"'Assin North',",ASHANTI,Ashanti,80534,0.26,92144,100891,109616,118634,127374,135883,143728,151181,157950,164397,170144,175480,179920,183805,186810,189477,10354,830391,11.9,
Assin South,"'Assin South',",CENTRAL,Central,123440,0.4,141760,154643,168640,181839,195960,208277,221120,231725,243000,251983,261760,268970,276800,281731,287400,290424,14783,1223873,10.7,
Asunafo North,"'Asunafo North',",CENTRAL,Central,157870,0.51,180744,197776,215016,232558,249849,266370,281928,296358,309825,322266,333744,343992,352920,360312,366435,371429,19951,1567039,6.1,
Asunafo South,"'Asunafo South',",CENTRAL,Central,120976,0.39,138216,151556,164424,178209,191061,204120,215592,227100,236925,246953,255216,263601,269880,276107,280215,284627,11450,1025244,10.8,
Asuogyaman,"'Asuogyaman',",AHAFO,Ahafo,123568,0.4,141760,154803,168640,182028,195960,208493,221120,231965,243000,252244,261760,269249,276800,282023,287400,290725,23559,852818,2.8,
Asutifi North,"'Asutifi North',",AHAFO,Ahafo,66141,0.21,74424,82860,88536,97432,102879,111598,116088,124162,127575,135016,137424,144118,145320,150956,150885,155614,15854,1039341,4.3,
Asutifi South,"'Asutifi South',",EASTERN,Eastern,67763,0.22,77968,84892,92752,99821,107778,114335,121616,127207,133650,138327,143968,147653,152240,154658,158070,159430,10216,663099,,
Atebubu Amantin,"'Atebubu Amantin',",AHAFO,Ahafo,132818,0.43,152392,166391,181288,195654,210657,224101,237704,249330,261225,271126,281392,289404,297560,303135,308955,312488,17035,2918229,,
Atiwa East,"'Atiwa East',",AHAFO,Ahafo,62563,0.2,70880,78378,84320,92161,97980,105561,110560,117445,121500,127712,130880,136322,138400,142789,143700,147195,12491,645040,6.2,
Atiwa West,"'Atiwa West',",BONO EAST,Bono East,76871,0.25,88600,96302,105400,113238,122475,129703,138200,144304,151875,156920,163600,167498,173000,175445,179625,180859,10510,651452,10.7,
Atwima Kwanwoma,"'Atwima Kwanwoma',",EASTERN,Eastern,112321,0.36,127584,140713,151776,165460,176364,189517,199008,210852,218700,229285,235584,244742,249120,256354,258660,264264,45248,279454,3.3,
Atwima Mponua,"'Atwima Mponua',",EASTERN,Eastern,147829,0.48,170112,185197,202368,217766,235152,249428,265344,277509,291600,301769,314112,322113,332160,337395,344880,347805,23283,2091388,3.4,
Atwima Nwabiagya North,"'Atwima Nwabiagya North',",ASHANTI,Ashanti,78113,0.25,88600,97858,105400,115068,122475,131798,138200,146636,151875,159455,163600,170205,173000,178280,179625,183781,23614,312570,4.5,
Atwima Nwabiagya South,"'Atwima Nwabiagya South',",ASHANTI,Ashanti,106569,0.34,120496,133507,143344,156986,166566,179811,187952,200054,206550,217543,222496,232209,235280,243226,244290,250731,39581,330949,,
Awutu Senya,"'Awutu Senya',",ASHANTI,Ashanti,102772,0.33,116952,128751,139128,151393,161667,173405,182424,192927,200475,209792,215952,223936,228360,234560,237105,241797,11243,272019,11.4,
Awutu Senya East,"'Awutu Senya East',",ASHANTI,Ashanti,128332,0.41,145304,160772,172856,189045,200859,216532,226648,240909,249075,261969,268304,279630,283720,292896,294585,301934,41959,120188,4.3,
Ayawaso Central,"'Ayawaso Central',",CENTRAL,Central,179422,0.58,205552,224776,244528,264306,284142,302735,320624,336816,352350,366261,379552,390953,401360,409500,416730,422136,6555,6555,16.1,
Ayawaso East,"'Ayawaso East',",CENTRAL,Central,105546,0.34,120496,132226,143344,155479,166566,178085,187952,198134,206550,215455,222496,229980,235280,240891,244290,248324,3963,4100,31.7,
Ayawaso North,"'Ayawaso North',",GREATER ACCRA,Greater Accra,125789,0.41,145304,157586,172856,185299,200859,212241,226648,236135,249075,256778,268304,274089,283720,287092,294585,295951,2367,2378,37.7,
Ayawaso West,"'Ayawaso West',",GREATER ACCRA,Greater Accra,89225,0.29,102776,111779,122264,131437,142071,150547,160312,167496,176175,182138,189776,194417,200680,203641,208365,209925,34880,49526,2.8,
Ayensuano,"'Ayensuano',",GREATER ACCRA,Greater Accra,97300,0.31,109864,121895,130696,143332,151869,164172,171368,182654,188325,198622,202864,212012,214520,222071,222735,228923,9873,555294,2.6,
