time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-03 00:00:00+00:00,1,1,223,17
2021-12-04 00:00:00+00:00,1,1,179,15
2021-12-05 00:00:00+00:00,2,2,262,17
2021-12-06 00:00:00+00:00,1,1,267,29
2021-12-07 00:00:00+00:00,1,1,37,16
2021-12-08 00:00:00+00:00,1,1,53,10
2021-12-09 00:00:00+00:00,1,1,45,10
2021-12-10 00:00:00+00:00,3,3,33,11
2021-12-11 00:00:00+00:00,2,2,27,5
2021-12-12 00:00:00+00:00,1,1,1,1
2021-12-13 00:00:00+00:00,1,1,19,6
2021-12-14 00:00:00+00:00,2,2,16,6
2021-12-15 00:00:00+00:00,1,1,19,6
2021-12-16 00:00:00+00:00,3,2,38,7
