url_path,views_total,views_unique
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,226,28
/SERVIR-WA/GALUP,215,36
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,116,25
/SERVIR-WA/GALUP/issues,88,8
/SERVIR-WA/GALUP/wiki/Install,81,29
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,64,9
/SERVIR-WA/GALUP/tree/master/training/1_lu,53,7
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/exercise2.md,45,8
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/exercise1.md,38,7
/SERVIR-WA/GALUP/issues/new,37,4
