url_path,views_total,views_unique
/SERVIR-WA/GALUP,28,11
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,22,12
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,11,8
/SERVIR-WA/GALUP/wiki/Tools,8,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,6,5
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,6,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,5,3
/SERVIR-WA/GALUP/issues,5,3
/SERVIR-WA/GALUP/wiki,5,2
/SERVIR-WA/GALUP/tree/gh-pages,4,1
