url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues,500,37
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,395,92
/SERVIR-WA/GALUP,369,82
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M4_Exercise1.md,362,55
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,257,55
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M3_exercise1.md,233,48
/SERVIR-WA/GALUP/wiki/Scripts,201,52
/SERVIR-WA/GALUP/issues/new,172,42
/SERVIR-WA/GALUP/tree/master/training/2_rs,116,28
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,92,28
