time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-11 00:00:00+00:00,1,1,16.0,4.0
2021-10-12 00:00:00+00:00,1,1,122.0,5.0
2021-10-13 00:00:00+00:00,2,2,121.0,8.0
2021-10-14 00:00:00+00:00,2,2,26.0,6.0
2021-10-15 00:00:00+00:00,3,3,49.0,5.0
2021-10-16 00:00:00+00:00,3,3,,
2021-10-17 00:00:00+00:00,1,1,5.0,2.0
2021-10-18 00:00:00+00:00,1,1,63.0,13.0
2021-10-19 00:00:00+00:00,2,2,15.0,6.0
2021-10-20 00:00:00+00:00,1,1,28.0,4.0
2021-10-21 00:00:00+00:00,2,2,21.0,6.0
2021-10-22 00:00:00+00:00,2,2,,
2021-10-23 00:00:00+00:00,12,3,8.0,4.0
2021-10-24 00:00:00+00:00,1,1,,
