url_path,views_total,views_unique
/SERVIR-WA/GALUP,78,21
/SERVIR-WA/GALUP/issues,46,5
/SERVIR-WA/GALUP/discussions,17,5
/SERVIR-WA/GALUP/actions/workflows/galup-ghrs.yml,13,1
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,12,7
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,12,6
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,11,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,10,6
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,10,4
/SERVIR-WA/GALUP/tree/master/training/1_lu,10,2
