url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues,296,25
/SERVIR-WA/GALUP,205,45
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,176,27
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,154,43
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,98,19
/SERVIR-WA/GALUP/tree/master/training/1_lu,65,12
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4%20copy.md,61,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m4_exercise2.md,50,8
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m3_exercise2.md,43,22
/SERVIR-WA/GALUP/issues/new,42,20
