url_path,views_total,views_unique
/SERVIR-WA/GALUP,54,12
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,14,6
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,14,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,11,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,11,3
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,10,5
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,10,3
/SERVIR-WA/GALUP/wiki/Scripts,9,5
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,7,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,6,4
