url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues,324,38
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,314,99
/SERVIR-WA/GALUP,285,80
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,282,71
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M3_exercise1.md,237,50
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M4_Exercise1.md,206,43
/SERVIR-WA/GALUP/wiki/Scripts,140,46
/SERVIR-WA/GALUP/tree/master/training/2_rs,113,35
/SERVIR-WA/GALUP/issues/new,89,33
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,85,34
