url_path,views_total,views_unique
/SERVIR-WA/GALUP,83,16
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,39,10
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m3_exercise1.md,26,8
/SERVIR-WA/GALUP/tree/master/training/1_lu,26,4
/SERVIR-WA/GALUP/tree/master/training,22,6
/SERVIR-WA/GALUP/wiki,20,4
/SERVIR-WA/GALUP/wiki/Tools,19,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,16,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/pdf_maps/LandConditionMap.pdf,14,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,13,4
