time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-08 00:00:00+00:00,3,3,15,5
2022-08-09 00:00:00+00:00,4,3,25,7
2022-08-10 00:00:00+00:00,3,3,5,5
2022-08-11 00:00:00+00:00,1,1,24,7
2022-08-12 00:00:00+00:00,5,4,17,5
2022-08-13 00:00:00+00:00,12,5,2,2
2022-08-14 00:00:00+00:00,2,2,4,1
2022-08-15 00:00:00+00:00,1,1,25,3
2022-08-16 00:00:00+00:00,6,4,5,2
2022-08-17 00:00:00+00:00,7,5,14,5
2022-08-18 00:00:00+00:00,2,2,15,4
2022-08-19 00:00:00+00:00,2,2,10,3
2022-08-20 00:00:00+00:00,5,4,1,1
