url_path,views_total,views_unique
/SERVIR-WA/GALUP/blob/master/training/3_idu/module.md,116,28
/SERVIR-WA/GALUP,114,38
/SERVIR-WA/GALUP/discussions/407,71,11
/SERVIR-WA/GALUP/discussions,57,12
/SERVIR-WA/GALUP/tree/master/training/3_idu,44,13
/SERVIR-WA/GALUP/tree/master/training,31,11
/SERVIR-WA/GALUP/blob/master/training/3_idu/exercise.md,22,8
/SERVIR-WA/GALUP/tree/master/training/3_idu/datasets,19,6
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,18,9
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,18,4
