url_path,views_total,views_unique
/SERVIR-WA/GALUP,57,14
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,30,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,27,14
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,22,3
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,21,4
/SERVIR-WA/GALUP/tree/master/training/1_lu/datasets,15,1
/SERVIR-WA/GALUP/issues,12,1
/SERVIR-WA/GALUP/tree/master/training,9,2
/SERVIR-WA/GALUP/wiki/Install,8,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m2_exercise1.md,8,2
