url_path,views_total,views_unique
/SERVIR-WA/GALUP,21,6
/SERVIR-WA/GALUP/tree/master/training/2_rs,4,2
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,3,3
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,2,2
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,2,2
/SERVIR-WA/GALUP/tree/master/training,2,2
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,2,2
/SERVIR-WA/GALUP/blob/master/training/2_rs/README.md,2,1
/SERVIR-WA/GALUP/edit/master/training/2_rs/README.md,2,1
/SERVIR-WA/GALUP/wiki/Tools,2,1
