url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues/new,390,28
/SERVIR-WA/GALUP,120,26
/SERVIR-WA/GALUP/issues,103,17
/SERVIR-WA/GALUP/tree/master/.github/ISSUE_TEMPLATE,88,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,25,14
/SERVIR-WA/GALUP/labels/Exercise%20W4M0,20,5
/SERVIR-WA/GALUP/tree/master/.github,20,4
/SERVIR-WA/GALUP/labels,15,2
/SERVIR-WA/GALUP/blob/master/.github/ISSUE_TEMPLATE/w4m2-exercise1-submission.md,15,1
/SERVIR-WA/GALUP/tree/master/training/2_rs,14,10
