url_path,views_total,views_unique
/SERVIR-WA/GALUP,27,9
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,10,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,9,6
/SERVIR-WA/GALUP/tree/master/training/1_lu/datasets/Districts%20of%20Ghana,9,2
/SERVIR-WA/GALUP/tree/master/training/1_lu,7,3
/SERVIR-WA/GALUP/tree/master/training/1_lu/datasets,7,3
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,7,3
/SERVIR-WA/GALUP/wiki/Install,7,3
/SERVIR-WA/GALUP/tree/master/training,5,3
/SERVIR-WA/GALUP/issues,4,3
