time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-11 00:00:00+00:00,27.0,7.0,179,11
2022-04-12 00:00:00+00:00,5.0,3.0,153,22
2022-04-13 00:00:00+00:00,1.0,1.0,137,14
2022-04-14 00:00:00+00:00,1.0,1.0,92,15
2022-04-15 00:00:00+00:00,1.0,1.0,53,10
2022-04-16 00:00:00+00:00,3.0,3.0,33,7
2022-04-17 00:00:00+00:00,2.0,2.0,89,11
2022-04-18 00:00:00+00:00,1.0,1.0,135,6
2022-04-19 00:00:00+00:00,3.0,2.0,56,8
2022-04-20 00:00:00+00:00,2.0,2.0,78,10
2022-04-21 00:00:00+00:00,9.0,4.0,60,15
2022-04-22 00:00:00+00:00,3.0,2.0,65,9
2022-04-23 00:00:00+00:00,1.0,1.0,12,4
2022-04-24 00:00:00+00:00,,,33,6
