url_path,views_total,views_unique
/SERVIR-WA/GALUP,27,9
/SERVIR-WA/GALUP/tree/master/algorithms,10,3
/SERVIR-WA/GALUP/blob/master/training/3_idu/module.md,8,5
/SERVIR-WA/GALUP/blob/master/algorithms/zonal_stats.py,7,1
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,6,4
/SERVIR-WA/GALUP/blob/master/training/3_idu/exercise.md,6,4
/SERVIR-WA/GALUP/issues,6,2
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,5,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,4,2
/SERVIR-WA/GALUP/tree/master/training/3_idu,3,3
