referrer,views_total,views_unique
github.com,86,23
galup.cersgis.org,30,11
galup1.cersgis.org,12,2
com.google.android.gm,9,4
t.co,6,5
szw1223.github.io,3,1
mail.google.com,2,1
st1.zoom.us,1,1
