time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-21 00:00:00+00:00,3,3,5.0,1.0
2022-09-22 00:00:00+00:00,1,1,28.0,3.0
2022-09-23 00:00:00+00:00,7,4,33.0,5.0
2022-09-24 00:00:00+00:00,3,3,,
2022-09-25 00:00:00+00:00,2,2,,
2022-09-26 00:00:00+00:00,1,1,7.0,1.0
2022-09-27 00:00:00+00:00,1,1,17.0,3.0
2022-09-28 00:00:00+00:00,1,1,9.0,3.0
2022-09-29 00:00:00+00:00,2,2,8.0,3.0
2022-09-30 00:00:00+00:00,5,3,,
2022-10-01 00:00:00+00:00,1,1,,
2022-10-02 00:00:00+00:00,2,2,14.0,1.0
2022-10-03 00:00:00+00:00,1,1,23.0,2.0
2022-10-04 00:00:00+00:00,2,1,12.0,4.0
