url_path,views_total,views_unique
/SERVIR-WA/GALUP,51,11
/SERVIR-WA/GALUP/tree/master/training,26,5
/SERVIR-WA/GALUP/blob/master/training/3_idu/module.md,25,2
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,20,7
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,18,8
/SERVIR-WA/GALUP/tree/master/training/2_rs,18,5
/SERVIR-WA/GALUP/tree/master/training/3_idu,16,2
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,14,9
/SERVIR-WA/GALUP/tree/master/training/1_lu,14,6
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,13,10
