url_path,views_total,views_unique
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,22,9
/SERVIR-WA/GALUP,18,6
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,10,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,9,2
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,6,3
/SERVIR-WA/GALUP/tree/master/training/2_rs,5,1
/SERVIR-WA/GALUP/tree/master/training/1_lu,4,3
/SERVIR-WA/GALUP/tree/master/training,3,3
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,3,2
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,3,2
