url_path,views_total,views_unique
/SERVIR-WA/GALUP,63,13
/SERVIR-WA/GALUP/blob/master/training/3_idu/module.md,52,4
/SERVIR-WA/GALUP/tree/master/training/3_idu,41,4
/SERVIR-WA/GALUP/tree/master/training,17,4
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,13,7
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,9,7
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,8,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,8,3
/SERVIR-WA/GALUP/issues,8,2
/SERVIR-WA/GALUP/wiki/Scripts,7,7
