url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues,462,50
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,451,99
/SERVIR-WA/GALUP,384,76
/SERVIR-WA/GALUP/blob/master/training/2_rs/module1.md,286,91
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M2_exercise1.md,282,39
/SERVIR-WA/GALUP/tree/master/training/2_rs,234,72
/SERVIR-WA/GALUP/issues/new,195,43
/SERVIR-WA/GALUP/wiki/Scripts,171,37
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,104,41
/SERVIR-WA/GALUP/tree/master/training,93,25
