url_path,views_total,views_unique
/SERVIR-WA/GALUP,133,40
/SERVIR-WA/GALUP/blob/master/training/3_idu/module.md,132,36
/SERVIR-WA/GALUP/discussions/407,71,11
/SERVIR-WA/GALUP/tree/master/training/3_idu,57,16
/SERVIR-WA/GALUP/discussions,56,11
/SERVIR-WA/GALUP/tree/master/training,31,11
/SERVIR-WA/GALUP/blob/master/training/3_idu/exercise.md,26,9
/SERVIR-WA/GALUP/tree/master/training/3_idu/datasets,22,7
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,21,7
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,20,9
