time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-24 00:00:00+00:00,5,3,30,2
2022-03-25 00:00:00+00:00,4,2,19,3
2022-03-26 00:00:00+00:00,7,4,6,2
2022-03-27 00:00:00+00:00,4,2,5,1
2022-03-28 00:00:00+00:00,4,2,2,2
2022-03-29 00:00:00+00:00,161,10,35,3
2022-03-30 00:00:00+00:00,23,9,67,6
2022-03-31 00:00:00+00:00,15,7,28,1
2022-04-01 00:00:00+00:00,5,3,38,5
2022-04-02 00:00:00+00:00,18,7,48,5
2022-04-03 00:00:00+00:00,11,6,17,2
2022-04-04 00:00:00+00:00,1,1,34,6
2022-04-05 00:00:00+00:00,1,1,24,4
2022-04-06 00:00:00+00:00,4,3,22,5
