time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-03 00:00:00+00:00,2,2,,
2022-08-04 00:00:00+00:00,2,2,,
2022-08-05 00:00:00+00:00,3,2,50.0,9.0
2022-08-06 00:00:00+00:00,1,1,1.0,1.0
2022-08-07 00:00:00+00:00,4,3,14.0,4.0
2022-08-08 00:00:00+00:00,3,3,15.0,5.0
2022-08-09 00:00:00+00:00,4,3,25.0,7.0
2022-08-10 00:00:00+00:00,3,3,5.0,5.0
2022-08-11 00:00:00+00:00,1,1,24.0,7.0
2022-08-12 00:00:00+00:00,5,4,17.0,5.0
2022-08-13 00:00:00+00:00,12,5,2.0,2.0
2022-08-14 00:00:00+00:00,2,2,4.0,1.0
2022-08-15 00:00:00+00:00,1,1,25.0,3.0
2022-08-16 00:00:00+00:00,4,2,5.0,2.0
