url_path,views_total,views_unique
/SERVIR-WA/GALUP,32,16
/SERVIR-WA/GALUP/tree/master/training,7,5
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,5,4
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,5,4
/SERVIR-WA/GALUP/tree/master/training/2_rs,4,4
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,4,3
/SERVIR-WA/GALUP/tree/master/algorithms,4,3
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,4,3
/SERVIR-WA/GALUP/wiki/Install,4,1
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,3,3
