time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-25 00:00:00+00:00,3.0,3.0,138,23
2022-04-26 00:00:00+00:00,4.0,3.0,29,11
2022-04-27 00:00:00+00:00,1.0,1.0,28,8
2022-04-28 00:00:00+00:00,1.0,1.0,22,6
2022-04-29 00:00:00+00:00,1.0,1.0,44,12
2022-04-30 00:00:00+00:00,1.0,1.0,11,6
2022-05-01 00:00:00+00:00,2.0,2.0,46,6
2022-05-02 00:00:00+00:00,1.0,1.0,4,2
2022-05-03 00:00:00+00:00,1.0,1.0,8,2
2022-05-04 00:00:00+00:00,3.0,2.0,33,4
2022-05-05 00:00:00+00:00,3.0,3.0,91,15
2022-05-06 00:00:00+00:00,2.0,2.0,61,11
2022-05-07 00:00:00+00:00,1.0,1.0,17,3
2022-05-08 00:00:00+00:00,,,13,1
