url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues,466,46
/SERVIR-WA/GALUP,317,75
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,283,70
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M3_exercise1.md,233,49
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,229,71
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,227,58
/SERVIR-WA/GALUP/wiki/Scripts,180,46
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M2_exercise1.md,168,35
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M4_Exercise1.md,136,36
/SERVIR-WA/GALUP/issues/new,132,39
