url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues,626,32
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,566,44
/SERVIR-WA/GALUP,529,54
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,264,50
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,217,41
/SERVIR-WA/GALUP/discussions,214,20
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m2_exercise1.md,204,33
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m2_exercise2.md,121,27
/SERVIR-WA/GALUP/tree/master/training/1_lu,118,16
/SERVIR-WA/GALUP/issues/new,114,30
