url_path,views_total,views_unique
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module3.md,28,17
/SERVIR-WA/GALUP,13,8
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,6,3
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,5,4
/SERVIR-WA/GALUP/blob/master/training/2_rs/module1.md,4,2
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module4.md,3,2
/SERVIR-WA/GALUP/wiki/Scripts,3,2
/SERVIR-WA/GALUP/blob/master/training/3_idu/module.md,3,1
/SERVIR-WA/GALUP/tree/master/training/3_idu,2,2
/SERVIR-WA/GALUP/blob/master/img/dgrm/lucis_workflow.svg,2,1
