referrer,views_total,views_unique
github.com,129,28
galup.cersgis.org,34,14
com.google.android.gm,12,6
t.co,6,5
galup1.cersgis.org,3,2
szw1223.github.io,3,1
Google,2,2
mail.google.com,2,1
st1.zoom.us,1,1
