time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-05 00:00:00+00:00,1.0,1.0,24,4
2022-04-06 00:00:00+00:00,15.0,6.0,22,5
2022-04-07 00:00:00+00:00,19.0,9.0,67,11
2022-04-08 00:00:00+00:00,1.0,1.0,32,9
2022-04-09 00:00:00+00:00,2.0,2.0,5,2
2022-04-10 00:00:00+00:00,4.0,2.0,17,4
2022-04-11 00:00:00+00:00,27.0,7.0,179,11
2022-04-12 00:00:00+00:00,5.0,3.0,153,22
2022-04-13 00:00:00+00:00,1.0,1.0,137,14
2022-04-14 00:00:00+00:00,1.0,1.0,92,15
2022-04-15 00:00:00+00:00,1.0,1.0,53,10
2022-04-16 00:00:00+00:00,3.0,3.0,33,7
2022-04-17 00:00:00+00:00,2.0,2.0,89,11
2022-04-18 00:00:00+00:00,,,135,6
