url_path,views_total,views_unique
/SERVIR-WA/GALUP,43,13
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module2.md,33,6
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,20,9
/SERVIR-WA/GALUP/wiki/Install,17,7
/SERVIR-WA/GALUP/blob/master/training/1_lu/exercises/m2_exercise2.md,10,2
/SERVIR-WA/GALUP/tree/master/training/1_lu/datasets/Districts%20of%20Ghana,9,2
/SERVIR-WA/GALUP/wiki/Tools,8,4
/SERVIR-WA/GALUP/tree/master/training/1_lu,7,3
/SERVIR-WA/GALUP/tree/master/training/1_lu/datasets,7,3
/SERVIR-WA/GALUP/tree/master/training/1_lu/modules,7,3
