url_path,views_total,views_unique
/SERVIR-WA/GALUP/blob/master/training/2_rs/module1.md,314,86
/SERVIR-WA/GALUP,301,62
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,287,77
/SERVIR-WA/GALUP/tree/master/training/2_rs,223,66
/SERVIR-WA/GALUP/issues,213,34
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M2_exercise1.md,161,27
/SERVIR-WA/GALUP/issues/new,132,40
/SERVIR-WA/GALUP/wiki/Scripts,89,21
/SERVIR-WA/GALUP/tree/master/training,68,20
/SERVIR-WA/GALUP/blob/master/training/1_lu/modules/module1.md,43,19
